group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
JPN,D,0.30-0.35,458,31.15904262667499,29.912663755458514,-1.2463788712164747,25.90044375575148,34.25905681760527,False
JPN,D,0.35-0.40,1,35.50591765294216,100.0,64.49408234705784,20.654329147389294,100.0,False
JPN,D,0.45-0.50,1,45.01003591081011,100.0,54.98996408918989,20.654329147389294,100.0,False
MEX,D,0.30-0.35,464,30.837135876530958,33.62068965517241,2.7835537786414566,29.472259499359023,38.0381115322038,False
MEX,D,0.35-0.40,2,35.68107340426605,0.0,-35.68107340426605,0.0,65.76280471103807,False
N1,D,0.30-0.35,4,30.855531443970545,0.0,-30.855531443970545,0.0,48.990002040399915,False
NOR,D,0.30-0.35,30,30.417054759801953,26.666666666666668,-3.750388093135287,14.182495553910618,44.44830204431169,False
P1,D,0.30-0.35,780,30.709680313158298,30.0,-0.7096803131583007,26.888395635643782,33.30764397235866,False
P1,D,0.35-0.40,2,35.768810172071284,0.0,-35.768810172071284,0.0,65.76280471103807,False
POL,D,0.30-0.35,394,30.70331979463454,31.472081218274113,0.768761423639569,27.083989194616798,36.21798827581364,False
ROU,D,0.30-0.35,1127,31.361881587943476,35.13753327417924,3.775651686235765,32.405049540842555,37.970996052103445,True
ROU,D,0.35-0.40,9,35.69948167232816,33.33333333333333,-2.3661483389948335,12.058159868274293,64.58026525009102,False
ROU,D,0.40-0.45,2,41.211687170898195,0.0,-41.211687170898195,0.0,65.76280471103807,False
ROU,D,0.60-0.65,1,63.85130451490822,100.0,36.14869548509178,20.654329147389294,100.0,False
RUS,D,0.30-0.35,719,31.49437049317213,32.5452016689847,1.0508311758125721,29.220970288632603,36.05496291720393,False
RUS,D,0.35-0.40,5,35.48445352995559,20.0,-15.484453529955589,3.6223160969787447,62.44717358814613,False
SC0,D,0.30-0.35,124,30.681534013670174,24.193548387096776,-6.4879856265734,17.504889877225967,32.43315845758836,False
SC1,D,0.30-0.35,57,30.675819822071524,29.82456140350877,-0.8512584185627559,19.53239240924326,42.664525489036855,False
SC2,D,0.30-0.35,3,30.230168073540774,66.66666666666666,36.43649859312589,20.76549551264879,93.85096847238394,False
SC3,D,0.30-0.35,7,30.865699614991293,57.14285714285714,26.277157527865846,25.04542304090258,84.17830777373732,False
SP1,D,0.30-0.35,782,31.17879012605065,34.78260869565217,3.6038185696015246,31.52611379375236,38.18788454891618,True
SP1,D,0.35-0.40,2,37.6677008066565,50.0,12.332299193343504,9.452865480086615,90.54713451991339,False
SP2,D,0.30-0.35,2531,31.37830376332532,32.75385223231924,1.3755484689939201,30.952772663694923,34.607205521924236,False
SP2,D,0.35-0.40,17,35.64582157509385,41.17647058823529,5.530649013141447,21.610786039131384,63.994925614484465,False
SP2,D,0.40-0.45,4,42.92623208955207,50.0,7.073767910447925,15.003570882017147,84.99642911798286,False
SP2,D,0.45-0.50,2,46.960795426743054,50.0,3.0392045732569484,9.452865480086615,90.54713451991339,False
SP2,D,0.60-0.65,2,60.80529865594988,50.0,-10.80529865594988,9.452865480086615,90.54713451991339,False
SP2,D,0.70-0.75,1,74.41285901263254,100.0,25.587140987367462,20.654329147389294,100.0,False
SWE,D,0.30-0.35,106,30.834323635879663,35.84905660377358,5.01473296789392,27.361966173474205,45.32597719224515,False
SWZ,D,0.30-0.35,13,30.559746996871645,15.384615384615385,-15.17513161225626,4.325726318273798,42.23517050863101,False
T1,D,0.30-0.35,92,30.60299742370887,34.78260869565217,4.179611271943301,25.83761177694167,44.947517018904804,False
T1,D,0.35-0.40,1,37.91599193628342,100.0,62.08400806371658,20.654329147389294,100.0,False
T1,D,0.40-0.45,2,42.424121302215106,0.0,-42.424121302215106,0.0,65.76280471103807,False
USA,D,0.30-0.35,48,30.603457637383062,29.166666666666668,-1.436790970716395,18.241416061863376,43.17952773616754,False
USA,D,0.35-0.40,1,38.71499176276772,0.0,-38.71499176276772,0.0,79.34567085261071,False
ARG,A,0.30-0.35,933,32.29422855012988,32.58306538049303,0.2888368303631539,29.65237649265738,35.65659356161859,False
ARG,A,0.35-0.40,693,37.35721618354151,33.18903318903319,-4.168182994508318,29.784169576294765,36.779250288420535,True
ARG,A,0.40-0.45,391,42.13575538335853,42.96675191815857,0.8309965348000381,38.151834783943315,47.91852862254679,False
ARG,A,0.45-0.50,187,47.28934829968201,45.45454545454545,-1.8348028451365572,38.480853386502844,52.611235550081204,False
ARG,A,0.50-0.55,93,52.30692088954021,54.83870967741935,2.531788787879141,44.733119871635175,64.56040687720004,False
ARG,A,0.55-0.60,48,57.07332222646001,60.416666666666664,3.3433444402066526,46.310154596935114,72.97937350404942,False
ARG,A,0.60-0.65,20,62.59908594197581,65.0,2.400914058024195,43.285051021946465,81.88104521320554,False
ARG,A,0.65-0.70,10,66.74689709589593,70.0,3.253102904104066,39.67732199795652,89.2210712513788,False
ARG,A,0.70-0.75,2,73.28426066684378,100.0,26.71573933315622,34.23719528896193,100.0,False
ARG,A,0.75-0.80,1,76.27119813760041,0.0,-76.27119813760041,0.0,79.34567085261071,False
AUT,A,0.30-0.35,308,32.425663029001335,34.090909090909086,1.6652460619077547,29.022091469026435,39.55169727500258,False
AUT,A,0.35-0.40,230,37.499899835071545,39.130434782608695,1.6305349475371544,33.05108963247051,45.56691503393616,False
AUT,A,0.40-0.45,238,42.23638266187895,39.075630252100844,-3.1607524097781114,33.097223694625086,45.4010991745587,False
AUT,A,0.45-0.50,166,47.29608801360481,54.81927710843374,7.523189094828931,47.224727906867955,62.19581452796545,False
AUT,A,0.50-0.55,124,52.37363272923654,50.0,-2.373632729236541,41.33257730247514,58.66742269752486,False
AUT,A,0.55-0.60,77,57.40544950135066,54.54545454545454,-2.859994955896117,43.472886644893926,65.18602163994952,False
AUT,A,0.60-0.65,64,62.53135666548331,51.5625,-10.968856665483306,39.581392243999034,63.366651434216095,False
AUT,A,0.65-0.70,57,67.21502980350724,70.17543859649122,2.960408792983993,57.33547451096314,80.46760759075674,False
AUT,A,0.70-0.75,33,71.91264246916447,69.6969696969697,-2.2156727721947655,52.66154602526555,82.62465218545277,False
AUT,A,0.75-0.80,19,77.29055093675416,73.68421052631578,-3.606340410438369,51.20803155892935,88.19376166045983,False
AUT,A,0.80-1.00,13,81.86481596045758,61.53846153846154,-20.32635442199603,35.52248097226855,82.2905534187632,False
B1,A,0.30-0.35,480,32.44209435010275,31.458333333333332,-0.9837610167694189,27.46532111115034,35.7457793812422,False
B1,A,0.35-0.40,415,37.31964596511391,41.68674698795181,4.3671010228378995,37.04051266236911,46.48547902518057,False
B1,A,0.40-0.45,338,42.35428490917549,43.49112426035503,1.136839351179536,38.30840417066806,48.820137235644104,False
B1,A,0.45-0.50,263,47.37985929065165,50.19011406844106,2.810254777789406,44.18813739550784,56.18661676576235,False
B1,A,0.50-0.55,189,52.375449108496454,48.148148148148145,-4.227300960348307,41.13269342126789,55.237384404263544,False
B1,A,0.55-0.60,125,57.22074354624337,60.0,2.779256453756629,51.23729773518758,68.16637312888115,False
